"Subject","HAP","P","LAP","LA","LAN","N","HAN","HA"
"DND098",3,3.66666666666667,4,2,1.66666666666667,2,1,2.33333333333333
"DND099",2,4,4,1,1.66666666666667,1,1.33333333333333,1.66666666666667
"DND100",4.33333333333333,3.33333333333333,3.66666666666667,1.33333333333333,2,1.33333333333333,1.33333333333333,3
"DND101",NA,NA,NA,NA,NA,NA,NA,NA
"DND102",2,3.66666666666667,4,1.33333333333333,2,1.66666666666667,1,1.66666666666667
"DND103",NA,NA,NA,NA,NA,NA,NA,NA
"DND104",2.66666666666667,4,4,1.66666666666667,1.66666666666667,1.66666666666667,1.33333333333333,2
"DND105",2.66666666666667,4.66666666666667,3.33333333333333,3,2,1.66666666666667,1.33333333333333,1.66666666666667
"DND106",NA,NA,NA,NA,NA,NA,NA,NA
"DND107",2.66666666666667,4.33333333333333,4,1.66666666666667,2.33333333333333,1.66666666666667,1.33333333333333,2
"DND108",NA,NA,NA,NA,NA,NA,NA,NA
"DND109",3.66666666666667,4,3.66666666666667,1,2.33333333333333,1.33333333333333,1,2
"DND110",2.66666666666667,3,2.66666666666667,3,2.33333333333333,2.33333333333333,1.66666666666667,2
"DND111",3,5,4,1.33333333333333,1.33333333333333,1.33333333333333,1,2
"DND112",3,4,4,2,2,1.66666666666667,2,2
"DND113",4.33333333333333,3.66666666666667,4.66666666666667,1.66666666666667,1.66666666666667,1.33333333333333,2,2
"DND114",1.66666666666667,2.66666666666667,3.33333333333333,2,2,2,1.33333333333333,2
"DND115",4,5,5,2.33333333333333,2,1,1,1.66666666666667
"DND116",NA,NA,NA,NA,NA,NA,NA,NA
"DND117",NA,NA,NA,NA,NA,NA,NA,NA
"DND118",3,2.33333333333333,2.66666666666667,1.33333333333333,2,2,1.66666666666667,2.33333333333333
"DND119",3,4,4,2.33333333333333,2,1,1,2.66666666666667
"DND120",NA,NA,NA,NA,NA,NA,NA,NA
"DND121",4,3.66666666666667,4,2.33333333333333,2.66666666666667,3.33333333333333,2,2.33333333333333
"DND122",NA,NA,NA,NA,NA,NA,NA,NA
